year,destination_office,origin,indicator,Total Filings
2013,Belgium,World,PA3,92460
2013,Belize,World,PA3,102
2013,Bhutan,World,PA3,2
2013,Bosnia and Herzegovina,World,PA3,583
2013,Brazil,World,PA3,35517
2013,Brunei Darussalam,World,PA3,119
2013,Bulgaria,World,PA3,9378
2013,Canada,World,PA3,153781
2013,Chile,World,PA3,9585
2013,China,World,PA3,1033908
2013,"China, Hong Kong SAR",World,PA3,38858
2013,"China, Macao SAR",World,PA3,1337
2013,Colombia,World,PA3,5967
2013,Costa Rica,World,PA3,413
2013,Croatia,World,PA3,4243
2013,Cuba,World,PA3,972
2013,Cyprus,World,PA3,82
2013,Czech Republic,World,PA3,30757
2013,Denmark,World,PA3,51277
2013,Dominican Republic,World,PA3,229
2013,Egypt,World,PA3,3553
2013,Estonia,World,PA3,6439
2013,Eswatini,World,PA3,9
2013,Finland,World,PA3,47058
2013,France,World,PA3,500114
2013,Georgia,World,PA3,2050
2013,Germany,World,PA3,569340
2013,Greece,World,PA3,28005
2013,Guatemala,World,PA3,746
2013,Guyana,World,PA3,20
2013,Hungary,World,PA3,19130
2013,Iceland,World,PA3,3385
2013,India,World,PA3,45103
2013,Indonesia,World,PA3,22564
2013,Iran (Islamic Republic of),World,PA3,36556
2013,Ireland,World,PA3,108218
2013,Israel,World,PA3,25372
2013,Italy,World,PA3,255350
2013,Jamaica,World,PA3,296
2013,Japan,World,PA3,1838177
2013,Jordan,World,PA3,317
2013,Kazakhstan,World,PA3,377
2013,Kyrgyzstan,World,PA3,348
2013,Latvia,World,PA3,6329
2013,Lithuania,World,PA3,7264
2013,Luxembourg,World,PA3,47025
2013,Madagascar,World,PA3,514
2013,Malaysia,World,PA3,22782
2013,Malta,World,PA3,560
2013,Mexico,World,PA3,101645
2013,Monaco,World,PA3,41976
2013,Mongolia,World,PA3,869
2013,Montenegro,World,PA3,1448
2013,Netherlands (Kingdom of the),World,PA3,150815
2013,New Zealand,World,PA3,28217
2013,Nicaragua,World,PA3,328
2013,Norway,World,PA3,19297
2013,Panama,World,PA3,1858
2013,Papua New Guinea,World,PA3,42
2013,Patent Office of the Cooperation Council for the Arab States of the Gulf,World,PA3,2510
2013,Peru,World,PA3,2615
2013,Philippines,World,PA3,14283
2013,Poland,World,PA3,47610
2013,Portugal,World,PA3,36782
2013,Republic of Korea,World,PA3,812595
2013,Republic of Moldova,World,PA3,471
2013,Romania,World,PA3,17100
2013,Russian Federation,World,PA3,194248
2013,Saint Vincent and the Grenadines,World,PA3,28
2013,Saudi Arabia,World,PA3,1988
2013,Serbia,World,PA3,2644
2013,Singapore,World,PA3,45999
2013,Slovakia,World,PA3,14218
2013,South Africa,World,PA3,54220
2013,Spain,World,PA3,151092
2013,Sweden,World,PA3,95695
2013,Switzerland,World,PA3,148759
2013,Tajikistan,World,PA3,256
2013,Thailand,World,PA3,11211
2013,Tunisia,World,PA3,3685
2013,Türkiye,World,PA3,44867
2013,Uganda,World,PA3,30
2013,Ukraine,World,PA3,26033
2013,United Arab Emirates,World,PA3,270
2013,United Kingdom,World,PA3,450458
2013,United States of America,World,PA3,2387502
2013,Uzbekistan,World,PA3,1155
2013,Viet Nam,World,PA3,10615
2013,Yemen,World,PA3,79
2013,Zambia,World,PA3,4122
2013,Zimbabwe,World,PA3,375
2014,African Intellectual Property Organization,World,PA3,2112
2014,African Regional Intellectual Property Organization,World,PA3,1266
2014,Albania,World,PA3,1086
2014,Algeria,World,PA3,4340
2014,Armenia,World,PA3,279
2014,Australia,World,PA3,128407
2014,Austria,World,PA3,118494
2014,Azerbaijan,World,PA3,87
2014,Bahamas,World,PA3,1117
2014,Bahrain,World,PA3,109
2014,Bangladesh,World,PA3,1077
2014,Belarus,World,PA3,5176
2014,Belgium,World,PA3,90012
2014,Belize,World,PA3,120
2014,Bolivia (Plurinational State of),World,PA3,601
2014,Bosnia and Herzegovina,World,PA3,503
2014,Botswana,World,PA3,883
2014,Brazil,World,PA3,24976
2014,Bulgaria,World,PA3,10203
2014,Canada,World,PA3,161442
2014,Chile,World,PA3,9987
2014,China,World,PA3,1196497
2014,"China, Hong Kong SAR",World,PA3,40865
2014,"China, Macao SAR",World,PA3,1489
2014,Colombia,World,PA3,6710
2014,Costa Rica,World,PA3,515
2014,Croatia,World,PA3,4838
2014,Cuba,World,PA3,927
2014,Cyprus,World,PA3,149
2014,Czech Republic,World,PA3,32590
2014,Denmark,World,PA3,51345
2014,Dominican Republic,World,PA3,294
2014,Egypt,World,PA3,4012
2014,Estonia,World,PA3,7904
2014,Finland,World,PA3,47344
2014,France,World,PA3,510490
2014,Georgia,World,PA3,1486
2014,Germany,World,PA3,576273
2014,Greece,World,PA3,27230
2014,Guatemala,World,PA3,840
2014,Guyana,World,PA3,17
2014,Hungary,World,PA3,20426
2014,Iceland,World,PA3,4089
2014,India,World,PA3,49272
2014,Iran (Islamic Republic of),World,PA3,40030
2014,Ireland,World,PA3,111109
2014,Israel,World,PA3,26645
2014,Italy,World,PA3,263824
2014,Jamaica,World,PA3,324
2014,Japan,World,PA3,1920490
2014,Jordan,World,PA3,377
2014,Kazakhstan,World,PA3,5184
2014,Kyrgyzstan,World,PA3,375
2014,Latvia,World,PA3,6763
2014,Lithuania,World,PA3,7723
2014,Luxembourg,World,PA3,48838
2014,Madagascar,World,PA3,390
2014,Malaysia,World,PA3,21568
2014,Malta,World,PA3,490
2014,Mexico,World,PA3,106340
2014,Monaco,World,PA3,53893
2014,Montenegro,World,PA3,1933
2014,Netherlands (Kingdom of the),World,PA3,156261
2014,New Zealand,World,PA3,28854
2014,Nicaragua,World,PA3,387
2014,Norway,World,PA3,21882
2014,Panama,World,PA3,1725
2014,Patent Office of the Cooperation Council for the Arab States of the Gulf,World,PA3,3609
2014,Peru,World,PA3,2651
2014,Philippines,World,PA3,16226
